recipe_name,recipe_genre,best_match_music_name,best_match_music_genre,mutual_proximity_score(rank_sum),recipe_url
☆絶品☆塩麻婆豆腐,China,China (20).mp3,China,2,https://recipe.rakuten.co.jp/recipe/1430001874/
フライパンで簡単☆蒸しシュウマイ,China,China (3).mp3,China,2,https://recipe.rakuten.co.jp/recipe/1130014436/
黄金比率！ピリ辛冷やし豆乳胡麻坦々うどん,China,China (3).mp3,China,3,https://recipe.rakuten.co.jp/recipe/1480013583/
豆乳でヘルシー☆冷し坦々麺,China,China (16).mp3,China,3,https://recipe.rakuten.co.jp/recipe/1780014543/
ピリ辛＆しっとり～よだれが出る美味しさ！よだれ鶏,China,China (1).mp3,China,3,https://recipe.rakuten.co.jp/recipe/1030011833/
鶏胸肉で簡単に♪棒棒鶏＆手作りごまダレ,China,China (13).mp3,China,4,https://recipe.rakuten.co.jp/recipe/1010005300/
ひき肉たっぷり♥簡単なのに本格！麻婆茄子,China,China (3).mp3,China,4,https://recipe.rakuten.co.jp/recipe/1070005834/
甜麺醤なしで出来る！簡単 ホイコーロー,China,China (13).mp3,China,5,https://recipe.rakuten.co.jp/recipe/1090001352/
お子様向けのお味♫ウチのジャージャー麺,China,China (2).mp3,China,5,https://recipe.rakuten.co.jp/recipe/1510016953/
ぷりぷり★海老シュウマイ,China,China (16).mp3,China,7,https://recipe.rakuten.co.jp/recipe/1510019635/
焼き揚げで作る油淋鶏（ユーリンチー）,China,China (1).mp3,China,11,https://recipe.rakuten.co.jp/recipe/1980005459/
豚肉たっぷり　おいしい八宝菜,China,China (11).mp3,China,11,https://recipe.rakuten.co.jp/recipe/1670011559/
きゅうりとネギの中華炒め,China,China (9).mp3,China,11,https://recipe.rakuten.co.jp/recipe/1920035611/
豚肉と小松菜のオイスター炒め♡,China,China (9).mp3,China,12,https://recipe.rakuten.co.jp/recipe/1220012287/
ホイホイとできるホイコーロー（回鍋肉）,China,China (14).mp3,China,12,https://recipe.rakuten.co.jp/recipe/1010004478/
超かんたん♪中華の定番「酢豚」…味は保証付き,China,China (5).mp3,China,13,https://recipe.rakuten.co.jp/recipe/1280001191/
大好評❤我が家のエビチリ,China,China (14).mp3,China,13,https://recipe.rakuten.co.jp/recipe/1110006398/
混ぜて入れるだけで簡単本格麻婆ナス,China,China (11).mp3,China,13,https://recipe.rakuten.co.jp/recipe/1620024560/
本格！麻婆豆腐 ☆　美味しい　☆,China,China (4).mp3,China,16,https://recipe.rakuten.co.jp/recipe/1920003005/
簡単おいしい！我が家のチンジャオロース（青椒肉絲）,China,China (5).mp3,China,17,https://recipe.rakuten.co.jp/recipe/1560004245/
冷凍うどんで♪冷たいフォー風うどん,Ethnic,Ethnic (9).mp3,Ethnic,2,https://recipe.rakuten.co.jp/recipe/1760021742/
【ごはん】野菜がたっぷり 節約 ガパオライス,Ethnic,Ethnic (16).mp3,Ethnic,2,https://recipe.rakuten.co.jp/recipe/1100015998/
基本のスパイスカレー,Ethnic,Ethnic (12).mp3,Ethnic,2,https://recipe.rakuten.co.jp/recipe/1160040539/
ゆで卵ワカモレ,Ethnic,Ethnic (9).mp3,Ethnic,3,https://recipe.rakuten.co.jp/recipe/1000006727/
包丁いらず簡単ガパオライス！チョッキング♪,Ethnic,Ethnic (16).mp3,Ethnic,3,https://recipe.rakuten.co.jp/recipe/1430008253/
簡単！炊飯器でカオマンガイ！海南鶏飯！,Ethnic,Ethnic (16).mp3,Ethnic,4,https://recipe.rakuten.co.jp/recipe/1790011842/
シェフの夫から教わる★簡単グリーンカレー,Ethnic,Ethnic (6).mp3,Ethnic,4,https://recipe.rakuten.co.jp/recipe/1200010691/
ナチョス,Ethnic,Ethnic (9).mp3,Ethnic,4,https://recipe.rakuten.co.jp/recipe/1530008017/
本格的メキシカン☆フレッシュサルサソース,Ethnic,Ethnic (17).mp3,Ethnic,5,https://recipe.rakuten.co.jp/recipe/1200005143/
タイの味☻ふわふわ鶏のカオマンガイ(チキンライス),Ethnic,Ethnic (1).mp3,Ethnic,5,https://recipe.rakuten.co.jp/recipe/1500017065/
